message,sentiment
,
"
",neutral
,
"Happy marriage anniversary both of you  God bless both of you 
",positive
,
"This message was deleted
",neutral
,
"Thank you for beautiful gift 
",positive
,
"Happy marriage anniversary both of you  Thank you for beautiful gift Nishu Pinky God bless both of you 
",positive
,
"Happy Mairrage Anniversary 
",neutral
,
"
",neutral
,
"
",neutral
,
"Jai Mata Di
",neutral
,
"Jai mata di jor se bolo jai mata di sary bolo jai mata di 
",neutral
,
"This message was deleted
",neutral
,
"Jai mata Di
",neutral
,
"Jai Mata di
",neutral
,
"There’s a story in each one of us. Be brave to live it. 
Tomorrow is the first blank page of a  page book. Write a good one.

Wishing you and your loved ones an exciting .
God bless 

Regards
Deepak jha
",positive
,
"Happy new Year 
",neutral
,
"Mummy Papa ko sbi Choty ko Pyar God bless all of you 
",positive
,
"
",neutral
,
"null
",neutral
,
"ईंट एक और गिर गई... 
दीवार - ऐ - जिन्दगी की, 
और नादान कह रहे हैं.... 
नया साल मुबारक़ हो....।
",neutral
,
"Papa  Mummy  Happy journey Safe journey Take care God bless my Parents 
",positive
,
"Kya baat hai Papa k garden ki syba tum ker rhy ho 
",neutral
,
"Dear Mohan Prasad Sinha, your appointment with Dr. Kuldeep Shetty is confirmed on // at : hrs. Please join the video call  mins before the scheduled time by logging in at  . We advise you to go through the online consultation checklist -  for a better experience. For any queries, call  - Narayana Health.
",positive
,
"Dear Mohan Prasad Sinha, your appointment with Dr. Kuldeep Shetty is confirmed on // at : hrs. Please join the video call  mins before the scheduled time by logging in at  . We advise you to go through the online consultation checklist -  for a better experience. For any queries, call  - Narayana Health.
",positive
,
"Doctor s meeting ho gya Papa 
",neutral
,
"Nishu Papa k garden ko mentain kerta hai Super s uper  very good 
",positive
,
"Kya baat hai mast Anaar hai 
",neutral
,
"Excellent 
    Mera Bhai Super hero juge juge jio  God bless you 
",positive
,
"Babu kudh s kha rha hai 
",neutral
,
"
",neutral
,
"
",neutral
,
"Baju k parents ka Golden Jubilee celebration hua Aaj 
",positive
,
"Choti Mami changed this group's icon
",neutral
,
"सूचना

     सीनियर सिटीजन वेलफेयर सोसाइटी के सभी सदस्यों को सूचित किया जाता है कि हर वर्ष की तरह गणतंत्र दिवस के अवसर पर समिति कार्यालय मे झंडोतटोलान कार्यक्रम होगा, अतः निवेदन है कि आम लोगों के साथ अधिक से अधिक संख्या मे शुक्रवार  जनवरी को पूर्वांहन  बजे समिति कार्यालय इंद्रपूरी रोड न.  मकान न,  में उपस्थित हों।
           सधन्यवाद
               
       हo  मोहन प्र. सिन्हा.
              महासचिव
",neutral
,
"सूचना

     सीनियर सिटीजन वेलफेयर सोसाइटी के सभी सदस्यों को सूचित किया जाता है कि हर वर्ष की तरह गणतंत्र दिवस के अवसर पर समिति कार्यालय मे झंडोतटोलान कार्यक्रम होगा, अतः निवेदन है कि आम लोगों के साथ अधिक से अधिक संख्या मे शुक्रवार  जनवरी को पूर्वांहन  बजे समिति कार्यालय इंद्रपूरी रोड न.  मकान न,  में उपस्थित हों।
           सधन्यवाद
               
       हo  मोहन प्र. सिन्हा.
              महासचिव
",neutral
,
"सूचना

     सीनियर सिटीजन वेलफेयर सोसाइटी के सभी सदस्यों को सूचित किया जाता है कि हर वर्ष की तरह गणतंत्र दिवस के अवसर पर समिति कार्यालय मे झंडोतटोलान कार्यक्रम होगा, अतः निवेदन है कि आम लोगों के साथ अधिक से अधिक संख्या मे शुक्रवार  जनवरी को पूर्वांहन  बजे समिति कार्यालय इंद्रपूरी रोड न.  मकान न,  में उपस्थित हों।
           सधन्यवाद
               
       हo  मोहन प्र. सिन्हा.
              महासचिव
",neutral
,
"सूचना

     सीनियर सिटीजन वेलफेयर सोसाइटी के सभी सदस्यों को सूचित किया जाता है कि हर वर्ष की तरह गणतंत्र दिवस के अवसर पर समिति कार्यालय मे झंडोतटोलान कार्यक्रम होगा, अतः निवेदन है कि आम लोगों के साथ अधिक से अधिक संख्या मे शुक्रवार  जनवरी को पूर्वांहन  बजे समिति कार्यालय इंद्रपूरी रोड न.  मकान न,  में उपस्थित हों।
           सधन्यवाद
               
       हo  मोहन प्र. सिन्हा.
              महासचिव
",neutral
,
"सूचना

     सीनियर सिटीजन वेलफेयर सोसाइटी के सभी सदस्यों को सूचित किया जाता है कि हर वर्ष की तरह गणतंत्र दिवस के अवसर पर समिति कार्यालय मे झंडोतटोलान कार्यक्रम होगा, अतः निवेदन है कि आम लोगों के साथ अधिक से अधिक संख्या मे शुक्रवार  जनवरी को पूर्वांहन  बजे समिति कार्यालय इंद्रपूरी रोड न.  मकान न,  में उपस्थित हों।
           सधन्यवाद
               
       हo  मोहन प्र. सिन्हा.
              महासचिव
",neutral
,
"Super s uper Papa
",neutral
,
"Kya baat hai beautiful Song
   Super s uper 
",positive
,
"Ganpati bappa morya  Mangal murti morya  Puja hogyi 
",neutral
,
"Ganpati bappa sabper apni Aashirbad or Kripadristi bnaye rakhe  Mummy Papa ko  Sab ko pyar 
",neutral
,
"Juge juge jio  Many many happy returns of the day God bless you 
",positive
,
"Thanks didi
",neutral
,
"Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
",neutral
,
"Ooii
",neutral
,
"Haanji
",neutral
,
"Kaa ho
",neutral
,
"Kaha ho
",neutral
,
"Class hua eating
",neutral
,
"Nikal raha
",neutral
,
"Ohh I'm almost done
",neutral
,
"Ha no worries
",negative
,
"Pick
",neutral
,
"I got the location
",neutral
,
"I'm back
",neutral
,
"I'll call I'm eating
",neutral
,
"Sorry
",neutral
,
"I hope u good?
",neutral
,
"Kya khaa rhe ho ji
",neutral
,
"Yeahh u?
",neutral
,
"I have an early morning flight tomorrow
",neutral
,
"Umm wanna watch a clg romance together
",neutral
,
"One episode
",neutral
,
"Jaldi baataoo
",neutral
,
"Definitely
",neutral
,
"I need to study and u have to sleep na
",neutral
,
"Banao the
",neutral
,
"Not sleeping if i sleep not gonna wake up even with alarm
",negative
,
"ohh then can we watcvh after my assignment
",neutral
,
"?
",neutral
,
"Yup donee
",neutral
,
"Hiii
",neutral
,
"Hogaya?
",neutral
,
"Noo bahot hai
",neutral
,
"Kya karna hai
",neutral
,
"kiska
",neutral
,
"Assignment
",neutral
,
"kr rhi
",neutral
,
"Kiska assignment hai
",neutral
,
"Ill be leaving @
",neutral
,
"Flight at?
",neutral
,
"Chem
",neutral
,
"
",neutral
,
"Approx kitne deir mei hojayga
",neutral
,
"let me see
",neutral
,
"Okee
",neutral
,
"Does white sheet means A PLAIN one or ruled
",neutral
,
"Means toh a only
",neutral
,
"But assignment hai toh koi bhi chal jayga
",neutral
,
"bola hai white sheet
",neutral
,
"Baaki logo ko puch ruled mei chalega ya nhi
",neutral
,
"Hunko bhi bolte the but hum ruled mei hi dete hai
",negative
,
"its huge af
",neutral
,
"Kab dena hai
",neutral
,
"Dawa lelena
",neutral
,
"What happened to u tho
",neutral
,
"Neend aaraha
",neutral
,
"I'm sorry
",negative
,
"Kyu
",neutral
,
"I kept u waiting
",neutral
,
"Its alright, waise bhi i cannot sleep
",neutral
,
"I love you
",positive
,
"I love you too
",positive
,
"Aap sojao, kal kitne baje class hai?
",neutral
,
"Ur love has not decreased ja
",positive
,
"Na*
",neutral
,
"
",neutral
,
"Never
",neutral
,
"Tab toh sahi hai mast mei raho
",neutral
,
"
",neutral
,
"But I hv cold
",negative
,
"Kal se bola tha garam paani lene ,liya tha wo aapne?
",neutral
,
"No
",neutral
,
"Kyu nhi kiya
",neutral
,
"Aur aaj?
",neutral
,
"No
",neutral
,
"Abhi le skte?
",neutral
,
"Noo ji
",neutral
,
"I'll sleep???
",neutral
,
"Like maybe I'll
",neutral
,
"Even if you dont want to you will fall asleep cause you tired
",negative
,
"Kal sabse pehle yehi kaam krna bai
",neutral
,
"Okay baby I love u soo muchh.. I'll try to sleep now
",positive
,
"I love you too
",positive
,
"Yeahh no worries
",negative
,
"Ill prolly reach by 
",neutral
,
"Okayjiiicall me before take off
",neutral
,
"Take offs at
",neutral
,
"You'll be asleep
",neutral
,
"Still krdena
",neutral
,
"Okk done
",neutral
,
"Baithgaya flight mei
",neutral
,
"Boarded at chennai
",neutral
,
"Landed
",neutral
,
"Call me once ya free
",positive
,
"Missed video call
",neutral
,
"Missed video call
",neutral
,
"Ki hui
",neutral
,
"Yo
",neutral
,
"Soo rahe the?
",neutral
,
"Haa
",neutral
,
"Kaise ho
",neutral
,
"Good jii
",neutral
,
"Will call in a few ghar laut raha
",neutral
,
"Mujhe yeh explain krdena plz
",neutral
,
"Theke bataunga abhi auto mei hu
",neutral
,
"Kk
",neutral
,
"null
",neutral
,
"Baccha kya hua
",neutral
,
"
",neutral
,
"Kya hua
",neutral
,
"I'm just ashamed and annoyed with myself
",negative
,
"Kyu bacchq
",neutral
,
"Aayu
",neutral
,
"Kya hua
",neutral
,
"Aayu
",neutral
,
"Haa bolo
",neutral
,
"Kya hua
",neutral
,
"I know I won't do good in it
",positive
,
"How can you say that
",neutral
,
"Abhi toh itna acche se kiya
",neutral
,
"Jande
",neutral
,
"I'll just sleep it off
",neutral
,
"Ik i won't get good cgpa also
",positive
,
"Aisa kuch nhi hai sab aayega
",neutral
,
"Tu bahot accha kr rhi hai
",neutral
,
"Bahot accha cgpa bji aayga aur viva bhi nail karegi
",neutral
,
"Idk
",neutral
,
"Chalo goodnight jii
",neutral
,
"Hoyega aayu you have worked your ass off
",positive
,
"Maybe I'm not perfect anymore
",positive
,
"Aayu you are perfect in every way possible
",positive
,
"Maybe not anymore
",neutral
,
"Bye
",neutral
,
"Goodnight 
",neutral
,
"Theres no such thing like that
",positive
,
"You are and you will always be
",neutral
,
"Thank you 
",neutral
,
"I'll sleep
",neutral
,
"Kab khatam hogq
",neutral
,
":
",neutral
,
":(
",neutral
,
"Yaaruu :(
",neutral
,
"Hii
",neutral
,
"U have to teach me multiplication
",neutral
,
"Abhi?
",neutral
,
"Yes
",neutral
,
"Aao jldi
",neutral
,
"Call pe samjhadu?
",neutral
,
"Cll
",neutral
,
"Mast lagg rahe ho
",neutral
,
"
",neutral
,
":)
",neutral
,
"Sab theek na
",neutral
,
"Hm
",neutral
,
"Bhavya nahi aaya
",neutral
,
"Kaun kaun ho
",neutral
,
"Let's just not talk bout it aage se..
",neutral
,
"Me and amishi
",neutral
,
"Kya hua usko
",neutral
,
"Bhavya and his rommie frnd committed suicide
",negative
,
"He was with us in first year
",neutral
,
"What?
",neutral
,
"Hm
",neutral
,
"He jumped
",neutral
,
"What the hell. Today?
",neutral
,
"Abhi just thode der phele
",neutral
,
"We were bout to cry
",negative
,
"Nahi horha Tushar I can't
",neutral
,
"Want me to call you?
",neutral
,
"No
",neutral
,
"Uk i can't think bout it
",neutral
,
"Soo I have to move on
",neutral
,
"Fuck yaar. Dont think about it and dont bring it up also tell her also not to
",neutral
,
"Haa she isn't
",neutral
,
"Call me once you get back
",neutral
,
"Bhai ismein kya galat h
",neutral
,
" Diya hai  mein se
",neutral
,
"check kar raha
",neutral
,
"for j waale loop mei j=i+ hoga
",neutral
,
"Ha toh wohi Kiya hai
",neutral
,
"n+ likha hai
",neutral
,
"I have just written the psuedo code but
",neutral
,
"And psuedo code yehi hai
",neutral
,
"pseudo code mei n+ likha tha kya?
",neutral
,
"and hummein iske sath working bhi dikhana hai
",neutral
,
"Haan
",neutral
,
"Uske toh marks do Bhai
",neutral
,
"pseudo code likhne ka alag way hota hai
",neutral
,
"Wait hummein yehi Diya tha
",neutral
,
" marks ka hai yr
",neutral
,
,neutral
,
"book mei kaisa tha dikha
",neutral
,
"Yeh nahi h
",neutral
,
"book wala dikha
",neutral
,
"ditto aisa hi likha hai?
",neutral
,
"No i haina
",neutral
,
"isme bhi j=i+ hai
",neutral
,
"N likha hai
",neutral
,
"but iske liye pura thodi kaatna chahiye
",neutral
,
"Haa notes mein n
",neutral
,
"Hona chaeye
",neutral
,
"Idk
",neutral
,
" marks ka tha
",neutral
,
"working ka check kar rha
",neutral
,
"Qlgo and then explain nd illustration krna tha
",neutral
,
"itna nahi katega tu daal reevaluation mei
",neutral
,
"Ok
",neutral
,
"isko har step ka illustration chahiye tha kya
",neutral
,
"No
",neutral
,
"daalde reeval
",neutral
,
"What is machine language
",neutral
,
"teacher yehi bolegi ki har step ka karna hota agar aisa bolti toh bolna mentioned nhi tha aur agr aisa tha bhi toh pure marks nhi kaatne the
",positive
,
"binary and hexadecimal instructions
",neutral
,
"on which a computer can respond
",neutral
,
"computer anguage basically
",neutral
,
"ek din bataya tha tujhe ki a computer only understands 's and 's
",negative
,
"which are used in binary
",neutral
,
"Oh
",neutral
,
"Eg
",neutral
,
"a computer programming language consisting of binary or hexadecimal instructions which a computer can respond to directly.
",neutral
,
"dictionary meaning
",neutral
,
"indexing  se start hoga toh arr[] will be A and arr[] will be A
",neutral
,
"tera printf statement run nhi karega
",neutral
,
"for loop mei kya kiya hai?
",neutral
,
"khaali lag rha wo toh
",negative
,
"Hmm toh code ki hoga
",neutral
,
"According toh marking scheme
",neutral
,
"question kya hai
",neutral
,
"Rukh batati hu
",neutral
,
"wo binary se conversion kaise karega wo likhna tha
",neutral
,
"like usme logic kya use karenge
",positive
,
"Algorithm to Convert Binary Numbers to Decimal

    Take an input binary number from the user.
    Store the binary number in a temporary variable to preserve the value of the binary number in the program.
    Make a loop (repeat the below steps) until the temporary variable is greater than .
    Divide the temporary variable (binary value) by  and take a single binary digit (remainder) from the right side of the binary value and store it in a remainder variable.
    Simultaneously multiply the remainder values from their place values according to the base number system, i.e. sequential powers of  (beginning from ).
    Take the sum of these resultant values at each step and store the value in a decimal number equivalent variable.
    Reduce temp at each step by a factor of  (temp /= ) and increase the base by a factor of  (base *= ).
    When the loop ends, the decimal number variable contains a binary number equivalent value.
",positive
,
"Bro
",neutral
,
,neutral
,
"ye code dekh isse samjhega
",neutral
,
"algo mei ye pata hi nahi chalraha ki conversion hoga kaise
",neutral
,
"zara sa bhi doubt ho kisi mei sab daaldena ka
",negative
,
"Ha toh bolna ye sab mam ko
",neutral
,
"the calculation part
",neutral
,
"Ek number jo  hai usko tu  aise mei kaise likhenge
",neutral
,
"Tujhe decimal to binary conversion aata hai on paper karne?
",neutral
,
"Hello ma'am I checked my psuc paper I have a lot of doubts .. what should I do ?
",negative
,
"There are many confusion as algorithm marks are . and flowchart . they have given  for algo then selection sort . as I have explained all the pass ..i wasn't able to add a page and technical issue there and therefore due to lack of time i still explained every pass ..then I have used manipal as an example for first one ..as u said we shouldn't use it but u said u will give marks but I didn't recieved any ..
",negative
,
"I am really confused..
",neutral
,
"Bhai itna kaise kr skte h yr
",neutral
,
"Saare daaldiye na
",neutral
,
"Dawa lelena
",neutral
,
"I want u
",neutral
,
"I am here
",neutral
,
"Bolo
",neutral
,
"I miss u
",negative
,
"Call me
",neutral
,
"I miss you too
",negative
,
"Kaha ho
",neutral
,
"Bombastic sideeye
",neutral
,
"U hv underarm
",neutral
,
"Obsession
",neutral
,
"Only yours
",neutral
,
"I look naked aise
",neutral
,
"You should be looking naked rn
",neutral
,
"Tasty
",neutral
,
"Mujhe boner aajayega
",neutral
,
"Aagaya
",neutral
,
"I want to eat you
",neutral
,
"Goodnight i will try to sleep
",neutral
,
"Try ill be here
",neutral
,
"Scared
",neutral
,
"You dont have to be
",neutral
,
"I am here for you
",neutral
,
"Nhi sopaungi
",neutral
,
"Lights off
",neutral
,
"Panda liya hai
",neutral
,
"Light chaeye Isley yeh wali use kiya
",neutral
,
"Chalega
",neutral
,
"Scared
",neutral
,
"Kya hua baccha
",neutral
,
"Idk
",neutral
,
"You need something?
",neutral
,
"Kro
",neutral
,
"Uk actually why I'm
",neutral
,
"Yeah i do baccha
",neutral
,
"Kaha h
",neutral
,
"I'm scared bahot
",negative
,
"Mat ja
",neutral
,
"Mai hu dw rishav aaya tha baitha hua hai
",neutral
,
"Dw
",neutral
,
"Okk
",neutral
,
"Neend aate he dar lgrha
",neutral
,
"Have some water and take a deep breath and try to lie
",negative
,
"Try not to think about it
",neutral
,
"I am here for you aayu
",neutral
,
"I am here dw lights off hogaye bas
",neutral
,
"Soo gaye?
",neutral
,
"Juilli
",neutral
,
"Uthh gaye pippo
",neutral
,
"Nikal gaya
",neutral
,
"I'm so sorry
",negative
,
"You got this
",neutral
,
"All the best
",positive
,
"Thabk you
",neutral
,
"U good?
",neutral
,
"Yeah yeah dw
",neutral
,
"
",neutral
,
"Kaise ho
",neutral
,
"Slept again
",neutral
,
"You fine?
",neutral
,
"null
",neutral
,
"Kitna hai
",neutral
,
"I hope u good babe
",positive
,
"Yes baccha abhi tak number nhi aaya
",neutral
,
"
",neutral
,
"Hojayega
",neutral
,
"I hope
",neutral
,
"Baby hojayega
",neutral
,
"Next is me
",neutral
,
"All the best sweetheart
",positive
,
"You got this
",neutral
,
"Nhi hua
",neutral
,
"Kya hua jaan
",neutral
,
"Selection
",neutral
,
"why
",neutral
,
"I don't know
",neutral
,
"Reason nhi batate
",neutral
,
"My bebo is sickkoo
",neutral
,
"
",neutral
,
"Pippo
",neutral
,
"Missed video call
",neutral
,
"Kaha ho
",neutral
,
"Kya kr rhe baccha
",neutral
,
"Work
",neutral
,
"Which one
",neutral
,
"Dawa lelo pehle
",neutral
,
"I'll dw
",neutral
,
"Really tired
",negative
,
"Kahaa
",neutral
,
"Missed voice call
",neutral
,
"Plz don't leave me
",neutral
,
"I will feel scared
",negative
,
"Missed voice call
",neutral
,
"I am so sorry
",negative
,
"I just woke up
",neutral
,
"I am sorry baccha
",negative
,
"No issues
",negative
,
"Aayu pick once
",neutral
,
"Open nhi ho rha
",neutral
,
"Koi ni ,mera naam nhi hai
",neutral
,
"Ss
",neutral
,
"it's alright babe
",neutral
,
"Next time
",neutral
,
"Tu theek hai
",neutral
,
"And it will be  better
",positive
,
"No really sick
",negative
,
"Can u plz find and for this
",neutral
,
"Ans
",neutral
,
"Checking
",neutral
,
"Dwload hi nhi horaha
",neutral
,
"Y
",neutral
,
"  both na
",neutral
,
"..
",neutral
,
"Ysa
",neutral
,
"th one is NIL
",neutral
,
"Jaldiuu
",neutral
,
"The surgeon is the childs mother
",neutral
,
"Upar wa
",neutral
,
"th wala NIL
",neutral
,
"Tf what
",neutral
,
"Match sticke arrange karke word NIL banta which means nothing
",neutral
,
"th
",neutral
,
"Thank you
",neutral
,
"Kya ths wo
",neutral
,
"This message was deleted
",neutral
,
"Looks awesome yaar
",positive
,
"Mostly hogya aur krenge kuch
",neutral
,
"Aur kya karoge ismei
",neutral
,
"Kaha ho
",neutral
,
"Do mute
",neutral
,
"Light zada hai
",neutral
,
"Net chala gaya tha aapka shyd
",neutral
,
"Sojao aap
",neutral
,
"I love you
",positive
,
"Omw to station
",neutral
,
"You woke up?
",neutral
,
"Yes
",neutral
,
"Happy journey babe
",neutral
,
"Thabk you pippo
",neutral
,
"Khaa liye th
",neutral
,
"?
",neutral
,
"Haaji
",neutral
,
"Okk
",neutral
,
"Train is late as always
",neutral
,
"@ now
",neutral
,
"It was scheduled for 
",neutral
,
"Chala?
",neutral
,
"Nahi aayi abhi tak  min lagega
",neutral
,
"Oh
",neutral
,
"Baithgaya
",neutral
,
"Good
",neutral
,
"All good there?
",positive
,
"Kaha ho
",neutral
,
"Earphone,meds
",neutral
,
"Switch krke pehnte?
",neutral
,
"Happy journey
",neutral
,
"Calling u babe
",neutral
,
"Formality kr rhi
",neutral
,
"PHoch gaye?
",neutral
,
"Yess
",neutral
,
"Plane mei ho ya waiting
",neutral
,
"Waiting
",neutral
,
"Ji
",neutral
,
"Kabse hai
",neutral
,
"Boarding hogaa
",neutral
,
"Baith gayi and nikalne wala
",neutral
,
"I'm comfortable dw
",positive
,
"Noone sitting beside me
",neutral
,
"Thats a breather
",neutral
,
"Chalo happy and safe journey
",positive
,
"I am sorry i fell asleep again
",negative
,
"It's okay babe
",neutral
,
"Reached
",neutral
,
"Ghar waapsi
",neutral
,
"Kaise jaaoge
",neutral
,
"Momma
",neutral
,
"Awww someone's getting picked up
",neutral
,
"Haa
",neutral
,
"Nikal gye?
",neutral
,
"Pahuche?
",neutral
,
"Haanji
",neutral
,
"You deleted this message
",neutral
,
"You deleted this message
",neutral
,
"Reached
",neutral
,
"Hiii
",neutral
,
"Lelo
",neutral
,
"Accha hai
",neutral
,
"Babe
",neutral
,
"U wanna say smthg
",neutral
,
"Na na
",neutral
,
"Bahar hu
",neutral
,
"I love you 
",positive
,
"I love you too
",positive
,
"You deleted this message
",neutral
,
"Kya hua bacche
",neutral
,
"Kuch nhi
",neutral
,
"Plz baby
",neutral
,
"Bolo
",neutral
,
"You were ignoring me since afternoon
",neutral
,
"No jaan I was just off my phone
",neutral
,
"Still I'm sorry sweetheart
",neutral
,
"At  i had texted you you even sent me reels after that and i had seen you online that time
",neutral
,
"Now also
",neutral
,
"I did made u feel that way and it was valid
",neutral
,
"I'm sorry
",negative
,
"I love you
",positive
,
"I was just having hard time processing everything
",negative
,
"babu im sorry
",negative
,
"When are you calling
",neutral
,
"i cant babe mum dad sleeping
",neutral
,
"im sorry jana
",negative
,
"Mute?
",neutral
,
"bachac
",neutral
,
"they can see
",neutral
,
"dont be mad or sad
",negative
,
"iloveveve yoyu
",neutral
,
"Theke
",neutral
,
"I love you too
",positive
,
"U upset na?
",negative
,
"A little but thekey
",neutral
,
"U wanna talk bout it
",neutral
,
"Babe
",neutral
,
"Nah ho toh gaya hi hai
",neutral
,
"
",neutral
,
"Sorry
",neutral
,
"Its okay
",neutral
,
"Sos rahe?
",neutral
,
"Jii
",neutral
,
"Okk
",neutral
,
"Dawa liya?
",neutral
,
"Kya sab kiya aaj
",neutral
,
"I'll call u and tell?
",neutral
,
"Ha sure
",neutral
,
"Where
",neutral
,
"Hello
",neutral
,
"Mumma ke saath thi
",neutral
,
"Ha ha i know
",neutral
,
"
",neutral
,
"Vc
",neutral
,
"Getting ready
",positive
,
"Kaha ja rhe
",neutral
,
"Vashii
",neutral
,
"Shopping?
",neutral
,
"Yessjii
",neutral
,
"Okok
",neutral
,
"Ready hokar dikhana
",neutral
,
"Missed video call
",neutral
,
"Again
",neutral
,
"Mutu
",neutral
,
"Cutie
",neutral
,
"only sofa likha neeche dekh
",neutral
,
"Heheeee
",neutral
,
"Scene hogya
",neutral
,
"Kya
",neutral
,
"I just realised mere bag mere humara pics tha and kya kuch nahi
",neutral
,
"Mumma ne wohi chain open Kiya tha bhai
",neutral
,
"Ab kya kre
",neutral
,
"She must have saw
",neutral
,
"Mujhe abhi realise hua ab kya kre
",neutral
,
"Unhone kuch bola?
",neutral
,
"Abhi Tak toh nhi
",neutral
,
"Nhi dekha hoga
",neutral
,
"Jab tak wo kuch na bole
",neutral
,
"Tab tak kuch nhi krna
",neutral
,
"Baaki abhi ke liye pictures chupa le
",neutral
,
"Ha
",neutral
,
"Ja rhi
",neutral
,
"What if bag mein na ho
",neutral
,
"Abey meri ammi dekhegi lekin bolegi tab jab sahi mauka hoga
",neutral
,
"Hoga check karo and face up hai ya down wo bhi dekhna
",neutral
,
"Wo dekhlenge pehle pata toh chale
",neutral
,
"Unka behaviour mei koi change?
",neutral
,
"Idk Bhai ab main soch rhi toh dar lag rha
",negative
,
"Aisa tha toh nahi
",neutral
,
"Bhai dekho up down Maine kaise rakha noone knows
",neutral
,
"Nai nai darr mat nhi dekha hoga
",neutral
,
"Unke behaviour mei koi change?
",neutral
,
,neutral
,
"Hey can u plz tryna submit it?
",neutral
,
"But frm my id
",neutral
,
"Can u ?
",neutral
,
"Ok lemme see
",neutral
,
"anweshav@gmail.com right?
",neutral
,
"Tera already account bata raha hai
",neutral
,
"Login karke dekh
",neutral
,
"accha nhi fuck
",negative
,
"Submit krna haina
",neutral
,
"Toh password batao
",neutral
,
"Aur submit kya krna
",neutral
,
"Pass
",neutral
,
"This will document form
",neutral
,
"Isme krle wo baadmei pdf mei convert hojata hai
",neutral
,
"Mujhe bhejna kardunga
",neutral
,
"Kok
",neutral
,
"Convert
",neutral
,
"Ye already pdf mei hai
",neutral
,
"Document mein krna haina
",neutral
,
"Tujhe document form mei chahiye?
",neutral
,
"Haa
",neutral
,
"Bhai u open and see kya dikh rha
",neutral
,
"And send ss
",neutral
,
"Bhai yeh kya hai
",neutral
,
"Mobile mei aise hi dikhta
",neutral
,
"Dark mode hai
",neutral
,
"Sahi toh hai sab
",neutral
,
"CHange the namke
",neutral
,
"and
",neutral
,
"document format
",neutral
,
"name
",neutral
,
"Ye hai toh doc form wala
",neutral
,
"ANWESHAVERMA<REPORT:>
",neutral
,
"MRM KE BAJAYE ISS NAME SE KRO
",neutral
,
"Angular vrackets nahi daal skte naam mei
",neutral
,
"SEND
",neutral
,
"THANKS BABE]
",neutral
,
"Kidhr
",neutral
,
"Mai toh idhr hi hu i thought uncle aunty aagaye honge isliye i didn't call back after that
",neutral
,
"Kaha
",neutral
,
"I felt really negative
",negative
,
"Wohi bahot suicide wala scene sunn liya
",negative
,
"Kyu baccha
",neutral
,
"Kiska
",neutral
,
"Bahot
",neutral
,
"Let's not talk bout it babe
",neutral
,
"Only if you say so
",neutral
,
"You wanna vc?
",neutral
,
"Noo babe I'll will be fine
",positive
,
"You sleeping rn?
",neutral
,
"Haa
",neutral
,
"Swollen?
",neutral
,
"Tu sofa pe hai
",neutral
,
"Dawa liya
",neutral
,
"Khtm hogya
",neutral
,
"Ha
",neutral
,
"Kab be
",neutral
,
"Wed ko
",neutral
,
"Ab next wed se lena hoga na
",neutral
,
"Toh mujhe soo rhi kyu boley
",neutral
,
"Haanji
",neutral
,
"Bed pe hu
",neutral
,
"Uncle aunty saath hai
",neutral
,
"Haanji
",neutral
,
"Ahaan ka bataye nhi aap
",neutral
,
"Kaisa raha
",neutral
,
"
",neutral
,
"Mast
",neutral
,
"Ohkayy
",neutral
,
"Babe mom h
",neutral
,
"Mai kaha kuch bola
",neutral
,
"Hello
",neutral
,
"I was thinking about the way u kissed me
",neutral
,
"Tell me about it
",neutral
,
"Just u are a good kisser
",positive
,
"Well i think i can give you much better
",positive
,
"
",neutral
,
"Bruh
",neutral
,
"U are my family friend
",neutral
,
"And that makes me do a hell lot of things to you
",negative
,
"Tushar 
",neutral
,
"Noo
",neutral
,
"Yes baby
",neutral
,
"
",neutral
,
"Horny mat ho
",neutral
,
"Hogaya ab toh kya karu
",neutral
,
"R we doing right?
",neutral
,
"Aren't we family frnds
",neutral
,
"Galat kya hai isme
",neutral
,
"Ha hai but insaan bhi haina
",neutral
,
"Aur uska matlab ye nhi ki hum pyaar nhi kr skte
",negative
,
"Bro I'm scared af
",negative
,
"Kyu, someone said anything?
",neutral
,
"Idk
",neutral
,
"Like we did kissed nd uk
",neutral
,
"It wasnt wrong
",negative
,
"We did because we wanted to and we felt thaf way
",neutral
,
"But aren't we family friend
",neutral
,
"And we shouldn't do that?
",neutral
,
"Aisa kuch nhi hai
",neutral
,
"We are and kaha likha hai ki agar dono log chahe bhi tobhi nahi kar skte
",neutral
,
"Bruh this look soo weird but
",negative
,
"Making out with family frnds
",neutral
,
"Is kinda hot
",positive
,
"what
",neutral
,
"..
",neutral
,
"When you have the feeling nothing should stop you
",neutral
,
"Sorry u like making this more awkward
",neutral
,
"Um no bro this is real weird
",negative
,
"Kaise baccha
",neutral
,
"Mere liye bhi toh tu family friend haina
",neutral
,
"Let it be lol
",neutral
,
"It's just a phase
",neutral
,
"Phase ya thought?
",neutral
,
"No we should talk about it
",neutral
,
"Kaha
",neutral
,
"Just makes me feel umm uk that ways
",neutral
,
"Kaisa like ?
",positive
,
"We are family frnds bachpan se jante bahot close h and uk making out
",neutral
,
"Chalo ek sec ke liye hum isme se family friend hata dete baaki bachpan se jaante and close hai its there, fir how would you feel
",negative
,
"Still awkward
",negative
,
"You deleted this message
",neutral
,
"You deleted this message
",neutral
